7167	Maratika_cave_1.jpg	wm	Maratika cave 1	Christopher J. Fynn	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=67324403
3228	Gompa_Milarepa_Cave.png	wm	Gompa Milarepa Cave	Mario Biondi writer	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=84469824
756	https://live.staticflickr.com/8658/16612252085_53a3eb6fb9_b.jpg	direct	Bat Cave, Pokhara, Nepal	cat_collector	CC BY 2.0	flickr	https://www.flickr.com/photos/75938119@N04/16612252085
6938	https://live.staticflickr.com/7520/16041058585_f1b9b90433_b.jpg	direct	Jhong cave	jmhullot	CC BY 2.0	flickr	https://www.flickr.com/photos/32856635@N00/16041058585
6462	Emerald_Drop_of_Tindhare_Falls.jpg	wm	Emerald Drop of Tindhare Falls	Sunuwargr	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=190874928
7168	https://live.staticflickr.com/7541/16050750885_ffff3c7924_b.jpg	direct	Chhoser valley landscape around Jhong Cave	jmhullot	CC BY 2.0	flickr	https://www.flickr.com/photos/32856635@N00/16050750885
2890	https://live.staticflickr.com/7541/16050750885_ffff3c7924_b.jpg	direct	Chhoser valley landscape around Jhong Cave	jmhullot	CC BY 2.0	flickr	https://www.flickr.com/photos/32856635@N00/16050750885
7193	Tatopani_hot_spring_Sindhupalchok.jpg	wm	Tatopani hot spring Sindhupalchok	Saddam19	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=194385117
23	Trail_exiting_the_village_of_Phakding..jpg	wm	Trail exiting the village of Phakding.	DARIO SEVERI	CC BY-SA 3.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=22538098
6548	Braga_Village,_Manang.jpg	wm	Braga Village, Manang	Pitambergrg	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=59400597
6950	Braga_Village,_Manang.jpg	wm	Braga Village, Manang	Pitambergrg	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=59400597
7245	https://live.staticflickr.com/7518/15673176648_188d38e99d_b.jpg	direct	Walking down from Nagi Gompa	qcom	CC BY-SA 2.0	flickr	https://www.flickr.com/photos/11253414@N00/15673176648
5822	Banke_National_Park.jpg	wm	Banke National Park	Hopingyousuf	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=79209219
6725	Kalinchowk_Snow.jpg	wm	Kalinchowk Snow	Nabina Dhami	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=80048214
7009	Kalinchowk_Snow.jpg	wm	Kalinchowk Snow	Nabina Dhami	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=80048214
6676	https://pd.w.org/2023/10/523651d37b996a860.59106669-1536x2048.jpeg	direct	Traditional Nepali food dhindo along with chicken curry, tomato pickel, green vegetables, etc.	Bijay Yadav	CC0 1.0	wordpress	https://wordpress.org/photos/photo/523651d37b/
5865	https://live.staticflickr.com/5656/21179111906_4118e1f897_b.jpg	direct	Trek to Panchase, Pokhara, Nepal	Aleksandr Zykov	CC BY-SA 2.0	flickr	https://www.flickr.com/photos/84292292@N00/21179111906
6527	https://live.staticflickr.com/2662/3852179714_62645c680a_b.jpg	direct	SP at Makalu Base Camp	dhilung	CC BY 2.0	flickr	https://www.flickr.com/photos/7236858@N07/3852179714
4068	https://live.staticflickr.com/7381/9220148369_f6cc510672_b.jpg	direct	Paddy fields of Nepal	CS Sharada Prasad	CC BY 2.0	flickr	https://www.flickr.com/photos/11124467@N02/9220148369
4066	https://live.staticflickr.com/7381/9220148369_f6cc510672_b.jpg	direct	Paddy fields of Nepal	CS Sharada Prasad	CC BY 2.0	flickr	https://www.flickr.com/photos/11124467@N02/9220148369
7044	https://live.staticflickr.com/6103/6336553905_15e5bd21c4_b.jpg	direct	momo	kudumomo	CC BY 2.0	flickr	https://www.flickr.com/photos/9751325@N02/6336553905
6534	https://live.staticflickr.com/65535/54300812313_bbb794c78c_b.jpg	direct	Nar Phu Valley Trek (Nepa, April - May 2024) - 53	Bruno Rijsman	CC BY-SA 2.0	flickr	https://www.flickr.com/photos/37003135@N00/54300812313
6483	Api_nampa_conservation_area.jpg	wm	Api nampa conservation area	Bikku24	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=79356012
6479	Indian_pitta_at_Parsa_National_Park.jpg	wm	Indian pitta at Parsa National Park	Mildeep	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=107669653
3823	https://pd.w.org/2025/04/5067fbf1760006d3.82103724-1536x2048.jpeg	direct	A lush, green landscape featuring a Dipang Lake covered with lotus leaves and a few blooming lotus flowers.	appealdahal	CC0 1.0	wordpress	https://wordpress.org/photos/photo/5067fbf176/
1496	Pokhara-Shanti-Stupa.jpg	wm	Pokhara-Shanti-Stupa	PageantUpdatess	CC BY-SA 4.0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=117492645
